# OLD_NAME, NEW_NAME
Lian-Wei Zhao,Lianwei Zhao
Christopher Mayer,Christopher B. Mayer
J.-L. Sourouille,Jean-Louis Sourrouille
Paul Wyatt,Paul P. Wyatt
L. Murphy,Liam Murphy
Xiao-Feng Zhou,Xiaofeng Zhou
Evgueni Goldberg,Evguenii I. Goldberg
Jaidev Patwardhan,Jaidev P. Patwardhan
B. Su,Bogong Su
Robert France,Robert B. France
Richard La,Richard J. La
Balasubramaiam Ramesh,Balasubramaniam Ramesh
J. Vallino,James R. Vallino
T. Israr,Toqeer Israr
T.-S. Chua,Tat-Seng Chua
Bill Lin Carl Verdonck,Bill Lin
J. H. Ding,Junhua Ding
J. Deng,Jie Deng
Shi-Jie Cai,Shijie Cai
Lara Crawford,Lara S. Crawford
N. J. Salerno,John Salerno
M. Somodi,Marius Somodi
Ling-Zhi Liao,Lingzhi Liao
Kumar Tamma,Kumar K. Tamma
John Garofolo,John S. Garofolo
Xiao-jian Li,Xiaojian Li
J. Deng,Jing Deng
A. Kennings,Andrew A. Kennings
Christina von Flach Chavez,Christina von Flach G. Chavez
Amrit Rao,Amrit K. Rao
G. Hernandez,Gregorio Hernández-Peñalver
Michael Welcome,Michael L. Welcome
K. O. Andersson,K. Ola Andersson
Jian-Jun Oung,Jianjun Oung
K. P. Vorwerk,Kristofer Vorwerk
Ding-Yi Pei,Dingyi Pei
Ya-Hong Hu,Yahong Hu
Ali Reza Butt,Ali Raza Butt
Chang-rui Yu,Changrui Yu
Yu Changrui,Changrui Yu
Deng-Guo Feng,Dengguo Feng
Deng-guo Feng,Dengguo Feng
S. K. Goh,SukKeong Goh
Suk K. Goh,SukKeong Goh
Hong-wei Wang,Hongwei Wang
Wang Hongwei,Hongwei Wang
Leighton Barnden,Leighton R. Barnden
L. R. Barnden,Leighton R. Barnden
H. M. Ladak,Hanif M. Ladak
Hanif Ladak,Hanif M. Ladak
BaiLe Shi,Baile Shi
Kai-Huai Qin,Kaihuai Qin
M. Chhetri,Mohan Baruwal Chhetri
Mohan B. Chhetri,Mohan Baruwal Chhetri
F. Ren,Fengyuan Ren
Zong-Kai Yang,Zongkai Yang
F. Hsu,Fan Hsu
R. A. Harte,Rachel A. Harte
G. Bejerano,Gill Bejerano
Peter Curran,Peter F. Curran
A. Nguyen,Anthony Nguyen
F. Xian,Feng Xian
K. R. Rosenbloom,Kate R. Rosenbloom
K. E. Smith,Kayla E. Smith
Rong-hui Wu,Ronghui Wu
Jacob Minz,Jacob R. Minz
Elisa Kendall,Elisa F. Kendall
Jarir Chaar,Jarir K. Chaar
Tomas Molina,Tomas E. Molina
Hou-kuan Huang,Houkuan Huang
DongCai Shi,Dongcai Shi
X. T. Nguyen,Xuan Thang Nguyen
Gregory Couch,Gregory S. Couch
Xue-Qi Cheng,Xueqi Cheng
O. Koval,Oleksiy J. Koval
Deborah Pinney,Deborah F. Pinney
Zhang Hongbin,Hongbin Zhang
KwangSuk Park,Kwang Suk Park
Hong-Bing Xu,Hong-bing Xu
JIANG Chang-jun,Chang-Jun Jiang
Chuang-Xin Guo,Chuangxin Guo
B. Kingsbury,Brian Kingsbury
Song Zhanjiang,Zhanjiang Song
Zhang Hongyi,Hongyi Zhang
Sergio Cuenca,Sergio A. Cuenca
Jefferson A. Coelho,Jefferson A. Coelho Jr.
K. Scott,Kevin Scott
Z. Shan,Zhiguang Shan
1. Miyamoto,Isao Miyamoto
X.-M. Li,Xiaoming Li
C. K. Wu,Chengke Wu
A. Thakkapallayil,Archana Thakkapallayil
Lee Sukho,Sukho Lee
Meng-Meng Yu,Mengmeng Yu
R. J. Marks,Robert J. Marks II
P. Kelly,Patrick Kelly
H. Jin,Hai Jin
B. J. Raney,Brian J. Raney
S. Geva,Shlomo Geva
WeiWei Sun,Weiwei Sun
Yi-Sheng Dong,Yisheng Dong
Eden Andelic,Edin Andelic
W. Liang,Wei Liang
Xu-min Liu,Xumin Liu
V. Vignoli,Valerio Vignoli
L. C. C. Wai,Lionel C. C. Wai
I. Mueller,Ingo Müller
Omer Akin Can A. Baykan,Omer Akin
Ian Benest,Ian D. Benest
V. Milutinovic,Veljko M. Milutinovic
Z.-M. Chen,Zhiming Chen
Daniel Dias,Daniel M. Dias
L. Duan,Lihua Duan
Stephen Rees,Stephen E. Rees
G. P. Barber,Galt P. Barber
Yong-Li Wang,Yong-li Wang
R. Kowalczyk,Ryszard Kowalczyk
Hua-Wei Wang,Huawei Wang
F. Xia,Fei Xia
Zhang Hailin,Hailin Zhang
B. Rokers,Bas Rokers
S. Wood,Steve Wood
Brent Dennis,Brent M. Dennis
S. Shivakumar,Sailaja Shivakumar
Z.-G. Zhang,Zhigang Zhang
D. Jacobs,David Jacobs
QingHua Zhang,Qinghua Zhang
A. S. Zweig,Ann S. Zweig
J. G. Ma,Jianguo Ma
Jiang-Bo Qian,Jiang-bo Qian
H. Clawson,Hiram Clawson
Sue Talley,Sue G. Talley
Wei-xiang Xu,Weixiang Xu
W. Ren,Wei Ren
W. F. Abd El-Wahed,Waiel F. Abd El-Wahed
S. Rocchi,Santina Rocchi
Xue-Jun Liu,Xue-jun Liu
G. Tan,Guang Tan
F. Xia,Franck Xia
R Luís,Rui Luís
X. Yin,Xia Yin
J. Y. Zhang,Jian Ying Zhang
Zhang Haixia,Haixia Zhang
S. Ma,Songde Ma
Juergen Rurainsky,Jürgen Rurainsky
Y. Qu,Yang Qu
Q. Huo,Qiang Huo
G. Sivashinsky,Gregory I. Sivashinsky
Hürevren Kilç,Hürevren Kiliç
H. Soltau,Hagen Soltau
H. Huang,Hai Huang
Ali Zayed,Ali S. Zayed
S. Zhu,Shaohong Zhu
Lynette Van Zijl,Lynette van Zijl
Grant Jacobs,Grant H. Jacobs
Russell Marsden,Russell L. Marsden
W.-F. Qi,Wenfeng Qi
J. Hillman-Jackson,Jennifer Hillman-Jackson
B. Rhead,Brooke L. Rhead
P. Arabshahi,Payman Arabshahi
G. Yuan,Guangwei Yuan
J. Xie,Jun Xie
Christopher Connolly,Christopher I. Connolly
John James,John R. James
D. A. J. Pearce,David Pearce
A. Preece,Alun D. Preece
José C. S. Palma,José Carlos S. Palma
Jose C. S. Palma,José Carlos S. Palma
Bernd J. Kreamer,Bernd J. Krämer
Elamr U. K. Melcher,Elmar U. K. Melcher
Elmar Melcher,Elmar U. K. Melcher
David Croasdell,David T. Croasdell
Juan Hernandez,Juan Hernández
M. di Bernardo,Mario di Bernardo
L. Bajla,Ivan Bajla
S. Nikoletseas,Sotiris E. Nikoletseas
Tom Meitzler,Thomas Meitzler
S. McKeever,Steve McKeever
Dave Edwards,David Edwards
David C. De Roure,David De Roure
Pat Wyatt,Patricia Wyatt
D. Belot,Didier Belot
Zhang Longbo,Longbo Zhang
L. Hollander,Igor Holländer
Chong Gun Yu,Chong-Gun Yu
Luiz Paula Lima Jr.,Luiz A. Paula Lima Jr.
Mike Lang,Michael Lang
J. S. Shieh,Jiann Shing Shieh
Eva Gonzalez,Eva González
SeongJe Cho,Seongje Cho
Tom Wagner,Thomas Wagner
G. A. Jullien,Graham A. Jullien
Gugangming Xing,Guangming Xing
Huai-ming Li,Huaiming Li
Teh Keng Soon James,James Keng Soon Teh
K. Hayatleh,Khaled Hayatleh
I. W. Sandberg,Irwin W. Sandberg
Du-juan Wang,Dujuan Wang
Paulo S. B. Nascimento,Paulo Sérgio B. do Nascimento
Juan Manual Murillo,Juan Manuel Murillo
Jong Tae Park,Jong-Tae Park
Joel Rozowsky,Joel S. Rozowsky
Cheryl Hamilton,Cheryl L. Hamilton
Yi-Ke Guo,Yike Guo
Rory Lewis,Rory A. Lewis
José Maria Cavero,José María Cavero
Stephen Solomon,Stephen B. Solomon
Ganesh Pai,Ganesh J. Pai
Ji-Ho Bang,Jiho Bang
J. Miura,Junichi Miura
Marc Vilain,Marc B. Vilain
Ey Suk Jung,Eysuk Jung
Hans Hummel,Hans G. K. Hummel
Jai-Ho Lee,Jai Ho Lee
Marisa Morita,Marisa E. Morita
Julian Sims,Julian M. Sims
Xiao-Zhe Zhang,Xiaozhe Zhang
Ronald Glotzbach,Ronald J. Glotzbach
Ahmed Tewfik,Ahmed H. Tewfik
Chris Pennington,Christopher A. Pennington
Rob Hyndman,Rob J. Hyndman
Svein Hallsteinsen,Svein O. Hallsteinsen
Mahn-Jin Han,Mahnjin Han
Pak C. Sham,Pak Chung Sham
Robert Lucas,Robert F. Lucas
Merrilyn Fiebig,Merrilyn J. Fiebig
Hong qiao Li,Hongqiao Li
E. Pignotti,Edoardo Pignotti
Ian Harris,Ian G. Harris
Peter Eiser,Peter Eisert
James Thom,James A. Thom
Flavia Agostini,Flavia P. Agostini
Jae-Wook Kim,Jaewook Kim
Colin Bennett,Colin J. Bennett
Steven Soltis,Steven R. Soltis
Ann Chervenak,Ann L. Chervenak
Kurt Skifstad,Kurt D. Skifstad
Dawson Engler,Dawson R. Engler
Tim W. Cole,Timothy W. Cole
M. E. Hernando,M. Elena Hernando
B. Glackin,Brendan P. Glackin
Xiaohong Gao,Xiaohong W. Gao
Kevin Haraki,Kevin S. Haraki
Sung Jun Park,Sungjun Park
Rogeréio Carapuça,Rogério Carapuça
Robert Rainer,Robert O. Rainer
Marc Marti-Renom,Marc A. Martí-Renom
Glenda Hayes,Glenda S. Hayes
Russ McMahon,Russell E. McMahon
Adam Juda,Adam I. Juda
Antonio Acosta,Antonio J. Acosta
Sue McHale,Sue L. McHale
De-Ke Guo,Deke Guo
Richard Haskell,Richard E. Haskell
Georges G. E,Georges G. E. Gielen
Jens Vöckler,Jens-S. Vöckler
Rui-Hua Ma,Ruihua Ma
Wendy Garber,Wendy L. Garber
Xi-En Ye,Xien Ye
Ye-Qiong Song,Yeqiong Song
Y. Q. Song,Yeqiong Song
YeQiong Song,Yeqiong Song
Francoise Simonot-Lion,Françoise Simonot-Lion
F. Simonot-Lion,Françoise Simonot-Lion
K. F. Wang,Kai-Feng Wang
J. Rubio,Julio Rubio
D. Rine,David C. Rine
Li Xiaowei,Xiaowei Li
Zhang Guangmei,Guangmei Zhang
F. Sergeraert,Francis Sergeraert
Ma Anxiang,Anxiang Ma
U. Meier,Ullrich Meier
Gao Kening,Kening Gao
Zhang Guangzhao,Guangzhao Zhang
GuangSheng Zhang,Guangsheng Zhang
Teh Ying Wah,Ying Wah Teh
N. Ke,Ning Ke
Walter Kirchgäassner,Walter Kirchgässner
Walter Kirchgässer,Walter Kirchgässner
Moyra M. C. Manus,Moyra K. McManus
Moyra McManus,Moyra K. McManus
Tim Sherwood,Timothy Sherwood
Xiao-Hui Liu,Xiaohui Liu
Remko deKnikker,Remko de Knikker
Lutz Schroder,Lutz Schröder
Zita Vale,Zita A. Vale
Pat Brown,Patrick O. Brown
Zhu Yuanxin,Yuanxin Zhu
Shu-Wang Lü,Shuwang Lü
Valentin Brimkov,Valentin E. Brimkov
Frank Hall,Frank J. Hall
Won-Ha Kim,Wonha Kim
Sharath Cholleti,Sharath R. Cholleti
Qi-wen Dong,Qiwen Dong
Adrian Travis,Adrian R. L. Travis
Dennis Spencer,Dennis D. Spencer
Isabel Praca,Isabel Praça
Matthew Hibbs,Matthew A. Hibbs
Hala Farouk,Hala A. Farouk
Deepak Yavagal,Deepak S. Yavagal
Fawzy Torkey,Fawzy A. Torkey
Berwin Turlach,Berwin A. Turlach
Ji-Zheng Xu,Jizheng Xu
Kim Edlund,Kim M. Edlund
M. R. Barouni Ebrahimi,Mohammadreza Barouni-Ebrahimi
Thomas Dietterich,Thomas G. Dietterich
Roger Paixão,Roger F. C. Paixão
Roger F. C. Paixao,Roger F. C. Paixão
Andy Connor,Andy M. Connor
Xue-hai Zhou,Xuehai Zhou
David Bader,David A. Bader
Jan Buzydlowski,Jan W. Buzydlowski
David Wall,David W. Wall
Chanjun Jiang,Changjun Jiang
H. J. De Man,Hugo De Man
Ming-Min Zhang,Mingmin Zhang
Olivier Caronand,Olivier Caron
Martyn Ould,Martyn A. Ould
Stephen Wingreen,Stephen C. Wingreen
G. Zihua,Zihua Guo
Thomas Moher,Thomas G. Moher
Zhang Guochuan,Guochuan Zhang
Han Jiye,Jiye Han
Li Yingjun,Yingjun Li
Chin-Yao Low,Chinyao Low
Jae Bum Kim,Jaebum Kim
Wen Jianjun,Jianjun Wen
Alexandre Pinto,Alexandre S. Pinto
Kang-Ho Kim,Kangho Kim
Ma Xiaoxing,Xiaoxing Ma
Ian Forsythe,Ian J. Forsythe
Louise Moser,Louise E. Moser
Juan Garay,Juan A. Garay
Kim Manwaring,Kim H. Manwaring
Brendan McKay,Brendan D. McKay
Daniel Weitzner,Daniel J. Weitzner
Dana Yoerger,Dana R. Yoerger
Reza Samadi,M. Reza Samadi
Yu-Qing Song,Yuqing Song
Run-Sheng Wang,Runsheng Wang
Tao Xianping,XianPing Tao
Molly Shor,Molly H. Shor
Cristina Ururahy,Cristina D. Ururahy
Jeong-Won Cha,Jeongwon Cha
Eric Bohm,Eric J. Bohm
Zeng-De Wu,Zengde Wu
Liu Jianzhong,Jianzhong Liu
Arthur L. Cunha,Arthur L. da Cunha
Rola Baki,Rola A. Baki
Colin Watanabe,Colin K. Watanabe
Zhang Chenxi,Chenxi Zhang
Fan-Guang Zeng,Fanguang Zeng
Ronald Giachetti,Ronald E. Giachetti
Rodrigo F. Mello,Rodrigo Fernandes de Mello
Asker Bazen,Asker M. Bazen
S. Borst,Sem C. Borst
Chang-Yun Li,Changyun Li
Paul Wagner,Paul J. Wagner
H. Hoh,Koichiro Hoh
Zhang Guanqun,Guanqun Zhang
Candy Sidner,Candy L. Sidner
Daniel Haft,Daniel H. Haft
Anish K. Arora,Anish Arora
Yan-Wen Guo,Yanwen Guo
Pietro Sicilian,Pietro Siciliano
William Arbaugh,William A. Arbaugh
Krishnan Nair Srijith,Srijith Krishnan Nair
Srijith K. Nair,Srijith Krishnan Nair
Mathew J. Gonzales,Matthew J. Gonzales
Rob Walstrom,Robert D. Walstrom
Tae Ho Kgil,Taeho Kgil
Ernst Krujiff,Ernst Kruijff
Ahwin G. Rao,Ashwin G. Rao
Henri Lothman,Henri Löthman
H. Torikai,Hiroyuki Torikai
Jae Sun Kim,Jaesun Kim
Tatjana Plotkin,Tatjana L. Plotkin
I. Galton,Ian Galton
Evgeniya Altareva,Evguenia Altareva
D. W. Lin,David W. Lin
Stephen Diener,Stephen E. Diener
Wei-Peng Yang,Wei-Pang Yang
R. R. Harrison,Reid R. Harrison
Blythe Devlin,Blythe H. Devlin
M. Barouni-Ebarhimi,M. Barouni-Ebrahimi
Curt White,Curt M. White
J. R. Juárez,J. R. Juárez-Rodríguez
Laurel Riek,Laurel D. Riek
Myound-Cheol Shin,Myoung-Cheol Shin
Michael Demmer,Michael J. Demmer
Mark Eramian,Mark G. Eramian
J. C. Esteva,Juan Carlos Esteva
Christopher Abel,Christopher J. Abel
Meng-Ling Feng,Mengling Feng
Mi. S. Ryoo,M. S. Ryoo
Joseph Mitchell,Joseph S. B. Mitchell
Marilyn Albert,Marilyn S. Albert
Martin Jagersänd,Martin Jägersand
Liu Yin,Yin Liu
V. P. Markova,Valentina P. Markova
Stan Li,Stan Z. Li
Géza Kolumban,Géza Kolumbán
J. R. G. de Mendívil,José Ramón González de Mendívil
J. Semiao,Jorge Semião
Alonso Vera,Alonso H. Vera
Stephen Mahaney,Stephen R. Mahaney
Parris Egbert,Parris K. Egbert
Luc Hebert,Luc J. Hébert
Kevin Yip,Kevin Y. Yip
Shu-Chang Xu,Shuchang Xu
Sam S. Adam,Sam S. Adams
Sam S. Adama,Sam S. Adams
Y.-P. Tan,Yap-Peng Tan
A. Khaki-Firooz,Ali Khaki-Firooz
Anwar Hasan,M. Anwar Hasan
SeungJoo Lee,Seungjoo Lee
Jason Holt,Jason E. Holt
Javier Ortiz-Hernandez,Javier Ortiz Hernández
N.-X. Lian,Naixiang Lian
Jia-Wei Rong,Jiawei Rong
Xiao Lin Li,Xiaolin Li
John Dennis,John M. Dennis
Erika M. Nieto-Ariza,Erika M. Nieto Ariza
F. Hernandez-Campos,Félix Hernández-Campos
Michael Runinger,Michael Grüninger
Claudia Lage Rebello Motta,Claudia Lage Rebello da Motta
Mike Parker,Michael Parker
Ana T. Vasconcelos,Ana Tereza R. Vasconcelos
Thomas Hintz,Tom Hintz
Viet-Anh Nugyen,Viet Anh Nguyen
Tom Fletcher,P. Thomas Fletcher
J. Muñoz Pérez,José Muñoz-Pérez
S.-Y. Kung,Sun-Yuan Kung
P. S. Goh,Poh-Sun Goh
Myung H. Sunwoo,Myung Hoon Sunwoo
P. Sole,Patrick Solé
Kyung L. Heo,Kyung Lan Heo
Feng-mei Sun,Fengmei Sun
H. N. Najm,Habib N. Najm
Shau-Chi Ong,Shauchi Ong
Stefano Depanfilis,Stefano De Panfilis
H. Niedderreiter,Harald Niederreiter
O. M. Knio,Omar M. Knio
Guo-Fei Hu,Guofei Hu
Varghese Jacob,Varghese S. Jacob
Andrew McIntyre,Andrew R. McIntyre
Matt Uyttendaele,Matthew Uyttendaele
H. Martin Bucker,H. Martin Bücker
A. Worth,Andrew J. Worth
Jung H. Lee,Jung Hoo Lee
Jeong-Yeon Seo,Jeongyeon Seo
R. Rodriquez,Rosa Rodríguez-Montanñés
R. Rodríguez,Rosa Rodríguez-Montanñés
Josep L. Rossello,José Luis Rosselló
José Luis Rosello,José Luis Rosselló
Paul Palathingal,Paul J. Palathingal
Paul Min,Paul S. Min
Eileen Smith,Eileen M. Smith
Edward Dougherty,Edward R. Dougherty
Hyung-Jin Yang,Hyungjin Yang
Stephen Duffull,Stephen B. Duffull
A. T. A. Gomes,Antônio Tadeu A. Gomes
D. Fragoulis,Dimitrios K. Fragoulis
Jengliang Tsai,Jeng-Liang Tsai
Manfred Husty,Manfred L. Husty
Dan Richards,Daniel R. Richards
Vivekanand M. Vedula,Vivekananda M. Vedula
Bao-Xian Zhang,Baoxian Zhang
Peter Stetson,Peter D. Stetson
J. J. Boutros,Joseph Boutros
Hamid Baghi,Hamidreza Baghi
P. Godignon,Ph. Godignon
E. Varvarigos,Emmanouel A. Varvarigos
Augustin Valverde,Agustín Valverde
Johnny Chang,Johnny T. Chang
Ramsey Haddad,Ramsey W. Haddad
Fernando P. Cortes,Fernando da Rocha Paixão Cortes
Claudionor N. Coelho,Claudionor José Nunes Coelho Jr.
Howard Higley,Howard C. Higley
Ed Deprettere,Ed F. Deprettere
Jose Guivant,José E. Guivant
Hyun-Chul Shin,Hyunchul Shin
Gregory Fischer,Gregory S. Fischer
Wenzhong (John) Shi,John Wenzhong Shi
Andrew Ladd,Andrew M. Ladd
Bill Christmas,William J. Christmas
Kendall Nygard,Kendall E. Nygard
Scott King,Scott A. King
Dong Xua,Dong Xuan
Manuel Cotos,J. Manuel Cotos
Silv Savarese,Silvio Savarese
Sang-Yoon Lee,Sangyoon Lee
Dan Bennett,Daniel Bennett
Xue Hong Tao,Xuehong Tao
Ho-Cheol Jung,Ho-Choul Jung
Thomas Kirkham,Tom Kirkham
Yuan-Chu Hwang,Yuanchu Hwang
Yun-Hai Tong,Yunhai Tong
Bernd Frölich,Bernd Fröhlich
Bernd Froehlich,Bernd Fröhlich
H. G. Wang,Hongguang Wang
M. Bazakos,Mike Bazakos
Wi Liu,Wei Liu
Ziad Alkachouh,Ziad Al Kachouh
Shi-Bo Xie,Shibo Xie
Rosa Rodríguez-Montanñés,Rosa Rodríguez-Montañés
Xia Shi-hong,Shihong Xia
Arthur Maccabe,Arthur B. Maccabe
J. Heidemann,John S. Heidemann
Debra Cook,Debra L. Cook
E. Kaiser,Edward C. Kaiser
Jose A. Gregorio,José A. Gregorio
Daniel Rio,Daniel E. Rio
Joon-Won Lee,Joonwon Lee
Qiu Xian-jie,Xianjie Qiu
R. Acharya,Raj Acharya
Eric Kurt,Eric M. Kurt
Seon-yeong Park,Seon-Yeong Park
Panagiotis P. Demestichas,Panagiotis Demestichas
J. Á Velázquez-Iturbide,J. Ángel Velázquez-Iturbide
Mohamed Elmasry,Mohamed I. Elmasry
P. Buddharaju,Pradeep Buddharaju
Jian Feng Zhan,Jianfeng Zhan
Wu-Chi Feng,Wu-chi Feng
Costantine Butakoff,Constantine Butakoff
Steven Glaser,Steve Glaser
Richard Schwartz,Richard M. Schwartz
R. Schwartz,Richard M. Schwartz
Erika Cota,Érika F. Cota
L. Levin,Lori S. Levin
C. Yu,Clement T. Yu
Hugh Beer,Hugh R. Beyer
Paul Hasler,Paul E. Hasler
P. Hasler,Paul E. Hasler
Javed Khan,Javed I. Khan
Miguel Escrivá,Miguel Escrivá Gregori
H. Gunes Kayacyk,Hilmi Günes Kayacik
Wenny J. Rahayu,J. Wenny Rahayu
Madj Merabti,Madjid Merabti
Jiangdong Li,Jiandong Li
F. Lefevre,Fabrice Lefevre
Andres Neyem,H. Andrés Neyem
Nicolas J. P. Race,Nicholas J. P. Race
Costas Tzafestas,Costas S. Tzafestas
Kong Weining,Weining Kong
Se-Hwan Kim,Sehwan Kim
Omkamath Prabhu,Omkarnath Prabhu
H. Schwenk,Holger Schwenk
Jim Giovannoni,James Giovannoni
Gledson Elias,Glêdson Elias da Silveira
Gao Lisha,Lisha Gao
Sang-Jin Jeong,Sangjin Jeong
Keizo Sugiyma,Keizo Sugiyama
Kenichi YoshidaKokichi Tanaka,Kenichi Yoshida
Ge Liang,Liang Ge
Sabine Loudcher,Sabine Loudcher Rabaséda
Antonio O. Fernandes,Antônio Otávio Fernandes
Tuan Anh Nguyen,Tuan-Anh Nguyen
YongDong Zhang,Yongdong Zhang
Luo Junzhou,Junzhou Luo
M. Taraeneh,Monther Tarawneh
Kris Demuynck. Patrick Wambacq,Kris Demuynck
ZhiQiang Wang,Ziqiang Wang
Ethan Duni,Ethan R. Duni
D. Dutta Majumdar,D. Dutta Majumder
D. P. Mukherjee,Dipti Prasad Mukherjee
Óscar W. Márquez-Flórez,Óscar W. Márquez Flórez
Jeffery E. PayneKeith W. Miller,Jeffery E. Payne
Jatinder N. D,Jatinder N. D. Gupta
Nilendu Jani,Nilendu G. Jani
Geoff Gordon,Geoffrey J. Gordon
David Oka,David K. Oka
Chris Bohoris,Christos Bohoris
Miguel Vargas Martín,Miguel Vargas Martin
Jasjit Suri,Jasjit S. Suri
Ronald DeMara,Ronald F. DeMara
C. Sigüenza,César A. Sigüenza
Shuang-Hua Yang,Shuanghua Yang
Paul Hill,Paul R. Hill
José Orozco,José Orozco García
Sile O'Modhrain,M. Sile O'Modhrain
A. Salibra,Antonino Salibra
Ernesto Basallo,Ernesto G. Basallo
Avelino Gonzalez,Avelino J. Gonzalez
Jun-Wei Lu,Junwei Lu
Wei-Xiong Rao,Weixiong Rao
Bruce Montrose,Bruce E. Montrose
Donatella Marini,L. Donatella Marini
Fayez Elguibaly,Fayez El Guibaly
Pinio R. S. Vilela,Plínio Roberto Souza Vilela
Victor M. Gulias,Víctor M. Gulías
Xue-Ping Wang,Xueping Wang
Marc R. C. Dongen,Marc R. C. van Dongen
Rui-Min Shen,Ruimin Shen
Kate Shaw,Kate L. Shaw
Yue-Fei Sui,Yuefei Sui
Miguel Escriva,Miguel Escrivá Gregori
Deise De Brum Saccol,Deise de Brum Saccol
Rong-Lu Li,Ronglu Li
Robert Clauer,C. Robert Clauer
Hee-Seok Lee,Heeseok Lee
M. Blesa,Maria J. Blesa
Ying-Kin Yu,Ying Kin Yu
Rob Baxter,Robert M. Baxter
Sherif Khattab,Sherif M. Khattab
Xiu-Li Sun,Xiuli Sun
Dugald Hutchings,Dugald Ralph Hutchings
Neill Taylor,Neill R. Taylor
Bill Horne,Bill G. Horne
Hartmut H. Ritter,Hartmut Ritter
Ming Yuen Chang,Michael Ming-Yuen Chang
Tim Abbott,Timothy Abbott
John Gorman,John D. Gorman
Bih-Yan Shih,Bih-Yaw Shih
Yudong He,Yudong D. He
Jason Bakos,Jason D. Bakos
Yu-Seop Kim,Yuseop Kim
José L. Freire,José Luis Freire
Robert Christensen,Robert R. Christensen
B. Toonen,Brian R. Toonen
Marcio Dutra,Márcio L. Dutra
Edward Dratz,Edward A. Dratz
Kwang-Hoon Sohn,Kwanghoon Sohn
Jurgen Ruf,Jürgen Ruf
Sun-Euy Kim,Suneuy Kim
Surya Janakiraman,Surya N. Janakiraman
Chang-Hua Tan,Changhua Tan
Tom Haupt,Tomasz Haupt
Hyun-Jung Na,Hyunjung Na
Jorge Barajas,Jorge M. Barajas
Jose Luis Guntzel,José Luís Almada Güntzel
Sam Larsen,Samuel Larsen
G. Doerr,Gwenaël J. Doërr
Jeff Evans,Jeffrey J. Evans
Christopher Brislawn,Christopher M. Brislawn
P. Amaral,Pedro Amaral
Michael Holst,Michael J. Holst
Jason Ellis,Jason B. Ellis
Kuo Wen-yin,Kuo Wenyin
Maureen McCreadie,Maureen M. McCreadie
Richard Joiner,Richard W. Joiner
Chu-Guang Zheng,Chuguang Zheng
Reiner Dumke,Reiner R. Dumke
Michele Vieira,Michele G. Vieira
Ho-Dong Yoo,Hodong Yoo
Zhi-Jian Wang,Zhijian Wang
Donghee Shin,Dong Hee Shin
Dong-Hee Shin,Dong Hee Shin
Ying Tai,Ying Y. Tai
G. F. Sullican,Gregory F. Sullivan
Yi-Xin Jiang,Yixin Jiang
Volodymyr Kindratenko,Volodymyr V. Kindratenko
Long-Fei Jin,Longfei Jin
Song Yong Sim,Songyong Sim
John Irvine,John M. Irvine
Tie-Niu Tan,Tieniu Tan
Robert Kauffman,Robert J. Kauffman
Hyun-Suk Suh,Hyunsuk Suh
Jun-Zhou Huang,JunZhou Huang
Wei Guo Zheng,Weiguo Zheng
Charles Wen,Charles H.-P. Wen
Yun-Hong Wang,Yunhong Wang
Luke Hutchison,Luke A. D. Hutchison
Vitaly Voloshin,Vitaly I. Voloshin
Ji Hong Min,Jihong Min
J. Asmuth,Jane C. Asmuth
Li-Feng Xu,Lifeng Xu
Matthew Akers,Matthew D. Akers
Henrique Domingos,Henrique João L. Domingos
Victor Mbarika,Victor Wacham A. Mbarika
Qi-Rong Mao,Qirong Mao
Raja Iqbal,Raja Tanveer Iqbal
Raja T. Iqbal,Raja Tanveer Iqbal
O. Salient,Oriol Sallent
Amine Salhi,M. Amine Salhi
A. C. Telea,Alexandru Telea
Alexander Kozlov,Alexander K. Kozlov
R. Agustí,Ramón Agustí
J. Perez-Rornero,Jordi Pérez-Romero
J. Moreira,José E. Moreira
Nima Nafisio,Nima Nafisi
Ravishankar Iyer,Ravishankar K. Iyer
Irene Ong,Irene M. Ong
Christian Salzmann,Chris Salzmann
Patrick M. Carthy,Patrick McCarthy
G. Cawley,Gavin C. Cawley
H. Sudboorough,Ivan Hal Sudborough
Leonard Wasieloski,Leonard P. Wasieloski
Shu-Yu Yang,Shuyu Yang
Rafael Banchs,Rafael E. Banchs
Tim Levin,Timothy E. Levin
S. Sakazawa,Shigeyuki Sakazawa
Chen-zhou Ye,Chenzhou Ye
J. Torrens,Joan Torrens
Li Shujun,Shujun Li
Kwang-Keun Yi,Kwangkeun Yi
J. Suner,Jaume Suñer
Francisco Triguero,Francisco Triguero Ruiz
Morgan Wang,Morgan C. Wang
S. Bota,Sebastià A. Bota
Chen-Ning Huang,Cheng-Ning Huang
Jorge Salcedo-Suner,Jorge Salcedo-Suñer
J. L. Pastrana,Jose Luis Pastrana
D. Panda,Dhabaleswar K. Panda
Jens Jahnke,Jens H. Jahnke
José Maseda,José-Manuel Maseda
Charles E. Phillips Jr.,Charles E. Phillips
C. Phillips,Charles E. Phillips
Lakshminarayanan Renganarayana,Lakshminarayanan Renganarayanan
R. Lakshminarayanan,Lakshminarayanan Renganarayanan
William Grosky,William I. Grosky
Tae Seon Kim,Tae-Seon Kim
István Kolossvary,István Kolossváry
Don Newell,Donald Newell
